X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount
,,6528,230100290,2023/02/07 11:50:00+00,300 WAVERLY AVE,OBSTRUCTING TRAFFIC/ALL CO15-317,Paid In Full,60
,,6529,230100289,2023/02/07 11:48:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6530,230100291,2023/02/07 11:50:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6531,23500890,2023/02/07 11:51:00+00,300 WATER ST W,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6532,230100292,2023/02/07 11:52:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25
,,6533,230100293,2023/02/07 11:52:00+00,300 WAVERLY AVE,OBSTRUCTING TRAFFIC/ALL CO15-317,Third Notice,60
,,6534,23500891,2023/02/07 11:53:00+00,300 WATER ST W,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25
,,6535,230100294,2023/02/07 11:53:00+00,300 WAVERLY AVE,OBSTRUCTING TRAFFIC/ALL CO15-317,Paid In Full,60
,,6536,230100296,2023/02/07 11:56:00+00,900 WALNUT AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100
,,6537,230100295,2023/02/07 11:53:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
-8475594.52081043,5319321.76925427,6538,231500888,2023/02/07 11:40:00+00,900 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6539,230100297,2023/02/07 11:59:00+00,900 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25
,,6540,396671D,2023/01/30 23:29:00+00,200 LAKEVIEW AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Promise To Pay,60
-8470263.54172963,5318438.90676702,6541,23500892,2023/02/07 11:59:00+00,200 GENESEE ST W,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
,,6542,230100298,2023/02/07 12:00:00+00,900 WALNUT AVE,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
-8475090.07642446,5318437.53591902,6543,230100300,2023/02/07 12:03:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
-8470263.54172963,5318438.90676702,6544,23500893,2023/02/07 12:00:00+00,200 GENESEE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8475090.07642446,5318437.53591902,6545,230100299,2023/02/07 12:03:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475107.10843412,5318278.51990242,6546,230100301,2023/02/07 12:06:00+00,300 WALNUT PL,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25
,,6547,396670D,2023/01/30 23:29:00+00,200 LAKEVIEW AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60
,,6548,408326D,2023/02/07 09:11:00+00,400 THAYER ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6549,396667D,2023/01/30 22:36:00+00,200 LAKEVIEW AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60
-8475090.07642446,5318437.53591902,6550,394252D,2023/01/29 19:00:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8475090.07642446,5318437.53591902,6551,394253D,2023/01/29 19:02:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6552,230700773,2023/02/07 13:14:00+00,400 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475090.07642446,5318437.53591902,6553,394254D,2023/01/29 19:03:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
,,6554,230700774,2023/02/07 13:15:00+00,400 GERTRUDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6555,394255D,2023/01/29 19:03:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8475107.10843412,5318278.51990242,6556,394257D,2023/01/29 19:15:00+00,300 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6557,394258D,2023/01/29 20:46:00+00,600 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475016.43867773,5319059.91775109,6558,394259D,2023/01/29 20:45:00+00,500 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6559,394256D,2023/01/29 19:10:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6560,394260D,2023/01/29 20:50:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,6561,394262D,2023/01/29 20:55:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,6562,394261D,2023/01/29 20:50:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6563,394265D,2023/01/29 21:05:00+00,100 COMSTOCK PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6564,394266D,2023/01/29 21:05:00+00,100 COMSTOCK PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6565,394263D,2023/01/29 21:00:00+00,400 BEECH ST S,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8474845.1179769,5318847.42590362,6566,394268D,2023/01/29 21:10:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474845.1179769,5318847.42590362,6567,394269D,2023/01/29 21:10:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8474845.1179769,5318847.42590362,6568,394267D,2023/01/29 21:10:00+00,200 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
,,6569,394270D,2023/01/29 21:15:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6570,394271D,2023/01/29 21:15:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6571,394272D,2023/01/29 21:15:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6572,415451D,2023/01/23 22:50:00+00,300 CLINTON ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8474683.81597047,5317472.51461835,6573,230700776,2023/02/07 13:46:00+00,200 EUCLID AVE,MISC,Third Notice,25
-8474683.81597047,5317472.51461835,6574,230700775,2023/02/07 13:45:00+00,200 EUCLID AVE,MISC,Paid In Full,25
-8474683.81597047,5317472.51461835,6575,230700778,2023/02/07 13:48:00+00,200 EUCLID AVE,MISC,Paid In Full,25
-8474683.81597047,5317472.51461835,6576,230700779,2023/02/07 13:48:00+00,200 EUCLID AVE,MISC,Paid In Full,25
-8474683.81597047,5317472.51461835,6577,230700777,2023/02/07 13:47:00+00,200 EUCLID AVE,MISC,Paid In Full,25
-8474683.81597047,5317472.51461835,6578,230700780,2023/02/07 13:49:00+00,200 EUCLID AVE,MISC,Third Notice,25
,,6579,230900669,2023/02/07 13:50:00+00,300 WAVERLY AVE,NO STOPPING ANY TIME CO15-316 (A)14,Issued,25
-8474683.81597047,5317472.51461835,6580,230700781,2023/02/07 13:50:00+00,200 EUCLID AVE,MISC,Paid In Full,25
,,6581,230900670,2023/02/07 13:50:00+00,300 WAVERLY AVE,OBSTRUCTING TRAFFIC/ALL CO15-317,Issued,60
,,6582,394273D,2023/01/29 21:28:00+00,400 MARSHALL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474239.4842528,5317504.04081908,6583,230700783,2023/02/07 13:53:00+00,500 EUCLID AVE,MISC,Paid In Full,25
-8474683.81597047,5317472.51461835,6584,230700782,2023/02/07 13:50:00+00,200 EUCLID AVE,MISC,Paid In Full,25
,,6585,394275D,2023/01/29 21:30:00+00,100 CLARENDON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474239.4842528,5317504.04081908,6586,230700784,2023/02/07 13:54:00+00,500 EUCLID AVE,MISC,Third Notice,25
,,6587,394274D,2023/01/29 21:30:00+00,100 CLARENDON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474308.11275453,5317750.77044262,6588,394277D,2023/01/29 21:40:00+00,700 SUMNER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474308.11275453,5317750.77044262,6589,394278D,2023/01/29 21:40:00+00,700 SUMNER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6590,394276D,2023/01/29 21:39:00+00,700 LIVINGSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473967.97599093,5317504.04079537,6591,230700785,2023/02/07 13:56:00+00,700 EUCLID AVE,MISC,Paid In Full,25
-8473967.97599093,5317504.04079537,6592,230700786,2023/02/07 13:58:00+00,700 EUCLID AVE,MISC,Paid In Full,25
-8474172.85952858,5317753.51203282,6593,394279D,2023/01/29 21:48:00+00,700 ACKERMAN AVE,LEFT WHEELS TO CURB/ALL CO15-301,Paid In Full,25
-8473967.97599093,5317504.04079537,6594,230700787,2023/02/07 13:59:00+00,700 EUCLID AVE,MISC,Paid In Full,25
-8475107.10843412,5318278.51990242,6595,394300D,2023/01/29 07:20:00+00,300 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475107.10843412,5318278.51990242,6596,394301D,2023/01/29 19:15:00+00,300 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8474026.08481945,5317787.78056998,6597,394280D,2023/01/29 21:50:00+00,700 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6598,394304D,2023/01/29 19:30:00+00,900 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6599,394303D,2023/01/29 19:30:00+00,900 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475107.10843412,5318278.51990242,6600,394302D,2023/01/29 19:15:00+00,300 WALNUT PL,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,6601,394305D,2023/01/29 19:33:00+00,900 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6602,394307D,2023/01/29 19:30:00+00,900 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6603,394308D,2023/01/29 19:40:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6604,230700788,2023/02/07 14:14:00+00,100 EUCLID AVE,LIMITED PARKING ONLY/ALL TIMES CO15-365,Third Notice,25
,,6605,230700789,2023/02/07 14:15:00+00,100 EUCLID AVE,LIMITED PARKING ONLY/ALL TIMES CO15-365,Third Notice,25
-8475030.96582144,5318551.31628747,6606,394309D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6607,394310D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6608,230700790,2023/02/07 14:16:00+00,100 EUCLID AVE,LIMITED PARKING ONLY/ALL TIMES CO15-365,Paid In Full,25
-8475090.07642446,5318437.53591902,6609,230900671,2023/02/07 14:16:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6610,230900674,2023/02/07 14:18:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475090.07642446,5318437.53591902,6611,230900673,2023/02/07 14:17:00+00,200 WALNUT PL,PRKD 12 IN FROM CURB/ALL CO15-301,Paid In Full,25
-8475090.07642446,5318437.53591902,6612,230900672,2023/02/07 14:17:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6613,230900675,2023/02/07 14:20:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475090.07642446,5318437.53591902,6614,230900676,2023/02/07 14:21:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475090.07642446,5318437.53591902,6615,230900679,2023/02/07 14:23:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6616,230900677,2023/02/07 14:22:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6617,230900678,2023/02/07 14:22:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6618,394311D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8475030.96582144,5318551.31628747,6619,394312D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6620,394315D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6621,394314D,2023/01/29 19:45:00+00,700 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6622,394313D,2023/01/29 19:45:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6623,394531D,2023/02/01 10:19:00+00,1400 SALT SPRINGS RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60
-8475030.96582144,5318551.31628747,6624,394316D,2023/01/29 20:00:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6625,394317D,2023/01/29 20:00:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475030.96582144,5318551.31628747,6626,394318D,2023/01/29 20:00:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
-8475030.96582144,5318551.31628747,6627,394320D,2023/01/29 20:00:00+00,700 WALNUT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
,,6628,369651D,2023/02/07 15:45:00+00,100 MILTON AVE,NO STOPPING ANY TIME CO15-316 (A)14,Adjudication Pending ,25
-8475030.96582144,5318551.31628747,6629,394319D,2023/01/29 20:00:00+00,700 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8473967.97599093,5317504.04079537,6630,393919D,2023/01/23 19:29:00+00,700 EUCLID AVE,PRKD BLOCKING DRVWY/ALL CO15-316 (A)2,Paid In Full,60
-8476812.30036917,5319069.51433867,6631,384650D,2023/02/07 12:35:00+00,401 MONTGOMERY ST,LIMITED PARKING ONLY/ALL TIMES CO15-365,Paid In Full,25
,,6632,231500889,2023/02/08 08:59:00+00,200 WASHINGTON ST E,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100
,,6633,231500890,2023/02/08 08:59:00+00,200 WASHINGTON ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25
,,6634,230100303,2023/02/08 09:06:00+00,100 COMSTOCK AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,6635,230100302,2023/02/08 09:06:00+00,100 COMSTOCK AVE,OBSTRUCTING TRAFFIC/ALL CO15-317,Issued,60
-8475090.07642446,5318437.53591902,6636,230100305,2023/02/08 09:15:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475016.43867773,5319059.91775109,6637,230100304,2023/02/08 09:11:00+00,500 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8475090.07642446,5318437.53591902,6638,230100306,2023/02/08 09:16:00+00,200 WALNUT PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6639,231500892,2023/02/08 09:18:00+00,800 CROUSE AVE S,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,25
-8475594.52081043,5319321.76925427,6640,231500891,2023/02/08 09:06:00+00,900 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60
,,6641,230100307,2023/02/08 09:29:00+00,900 WALNUT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,6642,231500893,2023/02/08 09:22:00+00,700 CROUSE AVE S,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25
,,6643,231500894,2023/02/08 09:26:00+00,100 MARSHALL ST,NONE/ONE LICENSE PLATE/ALL VTL402-1,Third Notice,25
-8475174.2340638,5318048.22553831,6644,231500895,2023/02/08 09:30:00+00,200 WAVERLY AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8475174.2340638,5318048.22553831,6645,231500896,2023/02/08 09:31:00+00,200 WAVERLY AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25
-8475174.2340638,5318048.22553831,6646,231500897,2023/02/08 09:32:00+00,200 WAVERLY AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Pending ,25
,,6647,231500899,2023/02/08 09:37:00+00,400 CROUSE AVE S,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,6648,231500900,2023/02/08 09:38:00+00,400 CROUSE AVE S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,6649,231500898,2023/02/08 09:36:00+00,400 CROUSE AVE S,PARKED IN LOADING ZONE/ALL CO15-329,Third Notice,25
,,6650,231500902,2023/02/08 09:48:00+00,300 MONTGOMERY ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,6651,231500901,2023/02/08 09:46:00+00,300 MONTGOMERY ST,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60
-8475107.10843412,5318278.51990242,6652,230100308,2023/02/08 09:47:00+00,300 WALNUT PL,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Denied,25
,,6653,231500903,2023/02/08 09:50:00+00,200 JEFFERSON ST E,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Third Notice,100
,,6654,231500904,2023/02/08 09:52:00+00,200 JEFFERSON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
-8475107.10843412,5318278.51990242,6655,230100309,2023/02/08 09:49:00+00,300 WALNUT PL,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,6656,231500905,2023/02/08 09:53:00+00,200 JEFFERSON ST E,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,6657,393040D,2023/01/30 11:11:00+00,100 ROSEWOOD ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8473618.32155827,5318651.38929538,6658,381292D,2023/01/23 19:01:00+00,400 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
,,6659,231500906,2023/02/08 09:55:00+00,100 JEFFERSON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,6660,381294D,2023/01/23 19:10:00+00,800 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6661,230700791,2023/02/08 09:56:00+00,400 BEAR ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8473538.17141397,5317365.60079138,6662,381295D,2023/01/23 19:15:00+00,900 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6663,231500907,2023/02/08 09:58:00+00,100 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
-8473501.60307101,5316809.12042362,6664,381297D,2023/01/23 19:22:00+00,1100 WESTCOTT ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
,,6665,230700792,2023/02/08 09:58:00+00,500 BEAR ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8473501.60307101,5316809.12042362,6666,381296D,2023/01/23 19:20:00+00,1100 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8474308.11275453,5317750.77044262,6667,381299D,2023/01/23 21:34:00+00,700 SUMNER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8477088.31705368,5319361.52736912,6668,231500908,2023/02/08 10:00:00+00,300 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25
-8473501.60307101,5316809.12042362,6669,381298D,2023/01/23 19:39:00+00,1100 WESTCOTT ST,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25
-8477088.31705368,5319361.52736912,6670,231500910,2023/02/08 10:00:00+00,300 WARREN ST S,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Third Notice,60
,,6671,381300D,2023/01/23 21:47:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8477088.31705368,5319361.52736912,6672,231500909,2023/02/08 10:00:00+00,300 WARREN ST S,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
-8474026.08481945,5317787.78056998,6673,381301D,2023/01/23 21:52:00+00,700 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
-8477880.29947809,5323450.66999859,6674,230700793,2023/02/08 10:02:00+00,500 SECOND NORTH ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
-8477088.31705368,5319361.52736912,6675,231500911,2023/02/08 10:03:00+00,300 WARREN ST S,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Issued,60
,,6676,381302D,2023/01/23 23:00:00+00,1100 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6677,415458D,2023/01/24 00:00:00+00,500 Townsend Street,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6678,230700794,2023/02/08 10:05:00+00,300 SECOND NORTH ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6679,415459D,2023/01/24 09:50:00+00,500 TOWNSEND ST,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6680,231500913,2023/02/08 10:08:00+00,200 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8477088.31705368,5319361.52736912,6681,231500912,2023/02/08 10:04:00+00,300 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
,,6682,231500914,2023/02/08 10:10:00+00,100 WARREN ST S,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25
,,6683,381303D,2023/01/23 23:05:00+00,1000 MADISON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6684,415460D,2023/01/24 10:05:00+00, BANK ALLEY,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
-8475777.86400822,5324139.2262535,6685,393050D,2023/01/29 15:47:00+00,200 MAPLEHURST AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,60
,,6686,415461D,2023/01/24 10:05:00+00, BANK ALLEY,UNINSPECTED/ ALL TIMES VTL 306-B,Third Notice,25
,,6687,230900680,2023/02/08 10:14:00+00,400 WESTMORELAND AVE,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,25
,,6688,393051D,2023/01/29 20:04:00+00,1100 WOLF ST,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25
,,6689,230100310,2023/02/08 10:17:00+00,1300 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6690,382260D,2023/01/29 01:09:00+00,300 JEFFERSON ST W,LEFT WHEELS TO CURB/ALL CO15-301,Paid In Full,25
-8477231.08418952,5318644.53492912,6691,362793D,2023/01/29 21:15:00+00,500 SALINA ST S,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Pending ,25
,,6692,382259D,2023/01/29 01:02:00+00,200 CLINTON ST S,NO STOPPING ANY TIME CO15-316 (A)14,Third Notice,25
,,6693,231500915,2023/02/08 10:18:00+00,100 WATER ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25
,,6694,382261D,2023/01/29 02:22:00+00,300 JEFFERSON ST W,PRKD 12 IN FROM CURB/ALL CO15-301,Paid In Full,25
,,6695,369653D,2023/01/29 08:15:00+00,100 GRAY AVE,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100
,,6696,415462D,2023/01/24 10:10:00+00,300 WATER STREET,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Third Notice,25
-8474959.83263757,5319083.2235877,6697,230100312,2023/02/08 10:20:00+00,1200 GENESEE ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
-8474959.83263757,5319083.2235877,6698,230100311,2023/02/08 10:19:00+00,1200 GENESEE ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
-8477296.70712344,5321478.5528853,6699,391487D,2023/01/29 08:51:00+00,1100 TOWNSEND ST S,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60
-8477183.4951778,5319493.14196284,6700,231500916,2023/02/08 10:22:00+00,100 WASHINGTON ST E,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100
,,6701,231500918,2023/02/08 10:25:00+00,200 BANK ALLEY,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
-8477183.4951778,5319493.14196284,6702,231500917,2023/02/08 10:23:00+00,100 WASHINGTON ST E,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,25
,,6703,415521D,2023/01/30 12:10:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60
,,6704,231500919,2023/02/08 10:26:00+00,200 BANK ALLEY,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25
-8470599.16987135,5318408.74834388,6705,360044D,2023/01/29 11:43:00+00,100 GENESEE ST E,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25
